id,nome_usuario,titulo_midia,tipo_midia,estrelas,comentario,deleted
324,Yan Alves,Stranger Things,Série,4,Ótima história e personagens.,False
325,Ravy Pimenta,The Office,Série,3,"Bom, mas nada de especial.",False
326,Mariane Farias,Naruto,Anime,1,"Terrível, um dos piores que já vi.",False
327,Isabella Pereira,Demon Slayer,Anime,4,"Muito bom, gostei bastante.",False
328,Bruna Costa,Attack on Titan,Anime,3,"É ok, mas não me marcou.",False
329,Esther Porto,Cidade de Deus,Filme,4,"Muito bom, gostei bastante.",False
330,Henry Gabriel Jesus,Stranger Things,Série,1,Não recomendo de jeito nenhum.,False
331,Ana Carolina Ferreira,The Office,Série,5,Top 10 da minha vida.,False
332,Vitor Gabriel Ribeiro,Vale Tudo,Novela,3,"Bom, mas nada de especial.",False
333,Pedro Gonçalves,Death Note,Anime,3,Divertido para passar o tempo.,False
334,João Vitor Gonçalves,Batman: O Cavaleiro das Trevas,Filme,4,"Muito bom, gostei bastante.",False
335,Carlos Eduardo da Mata,Avenida Brasil,Novela,3,"É ok, mas não me marcou.",False
336,Hadassa Nogueira,Death Note,Anime,5,Perfeito! Uma obra-prima.,False
337,Alana Melo,Vale Tudo,Novela,4,"Muito bom, gostei bastante.",False
338,Laura Nascimento,O Senhor dos Anéis: O Retorno do Rei,Filme,3,"Bom, mas nada de especial.",False
339,Sra. Ester Silva,Batman: O Cavaleiro das Trevas,Filme,4,Surpreendeu positivamente.,False
340,Pietro Vargas,A Viagem de Chihiro,Filme,3,Divertido para passar o tempo.,False
341,Maria Sophia Brito,Interestelar,Filme,4,Surpreendeu positivamente.,False
342,Matteo Dias,Naruto,Anime,3,"Bom, mas nada de especial.",False
343,Bárbara Ramos,Death Note,Anime,2,Não funcionou pra mim.,False
344,Amanda Leão,O Clone,Novela,1,Muito ruim.,False
345,Maya da Rocha,Black Mirror,Série,3,Divertido para passar o tempo.,False
346,Noah Campos,Cidade de Deus,Filme,3,Divertido para passar o tempo.,False
347,Lavínia Gomes,Dark,Série,3,Divertido para passar o tempo.,False
348,Bruno Barros,Matrix,Filme,4,Surpreendeu positivamente.,False
349,Laís Machado,Senhora do Destino,Novela,5,Perfeito! Uma obra-prima.,False
350,Pedro Miguel das Neves,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
351,Lívia Barbosa,The Office,Série,4,"Quase perfeito, vale muito a pena.",False
352,Sra. Bárbara Casa Grande,Attack on Titan,Anime,5,Perfeito! Uma obra-prima.,False
353,Milena Oliveira,Vale Tudo,Novela,2,Não funcionou pra mim.,False
354,Jade Sá,Game of Thrones,Série,2,Não funcionou pra mim.,False
355,Sr. Leonardo da Costa,O Senhor dos Anéis: O Retorno do Rei,Filme,4,"Quase perfeito, vale muito a pena.",False
356,João Guilherme Pastor,O Clone,Novela,2,Achei a premissa fraca.,False
357,Srta. Maria Liz Sampaio,Interestelar,Filme,3,"Bom, mas nada de especial.",False
358,Jade Araújo,O Poderoso Chefão,Filme,1,Muito ruim.,False
359,Maria Alice Marques,Fullmetal Alchemist: Brotherhood,Anime,5,Perfeito! Uma obra-prima.,False
360,Maria Júlia Fernandes,Dark,Série,4,"Muito bom, gostei bastante.",False
361,João da Paz,A Origem,Filme,1,Muito ruim.,False
362,Alexandre Nascimento,A Origem,Filme,4,"Muito bom, gostei bastante.",False
363,Eduardo Freitas,A Origem,Filme,5,Sensacional!,False
364,Eloá Rocha,Batman: O Cavaleiro das Trevas,Filme,3,Tem seus altos e baixos.,False
365,Pietra Costa,A Viagem de Chihiro,Filme,1,"Terrível, um dos piores que já vi.",False
366,Samuel Fonseca,Breaking Bad,Série,5,Top 10 da minha vida.,False
367,Leandro Jesus,Stranger Things,Série,1,Muito ruim.,False
368,Clara Barros,Senhora do Destino,Novela,4,"Muito bom, gostei bastante.",False
369,Sr. Lucas Gabriel Alves,Attack on Titan,Anime,4,Surpreendeu positivamente.,False
370,Lara Rodrigues,Naruto,Anime,5,Recomendo para todo mundo!,False
371,Sophia Moura,O Poderoso Chefão,Filme,5,Top 10 da minha vida.,False
372,Francisco Ribeiro,Pulp Fiction,Filme,1,Não recomendo de jeito nenhum.,False
373,Ravi Lucca Monteiro,Dark,Série,5,Top 10 da minha vida.,False
374,Vinícius Casa Grande,Pulp Fiction,Filme,3,Tem seus altos e baixos.,False
375,Catarina Silva,Dark,Série,4,"Quase perfeito, vale muito a pena.",False
376,Otto Freitas,Parasita,Filme,3,"Bom, mas nada de especial.",False
377,Dr. Cauê Pacheco,Interestelar,Filme,4,"Muito bom, gostei bastante.",False
378,Benicio Fogaça,Pulp Fiction,Filme,2,Não funcionou pra mim.,False
379,Sra. Gabrielly da Rocha,A Viagem de Chihiro,Filme,5,"Incrível, assistiria de novo.",False
380,João Vitor Costa,Parasita,Filme,1,Muito ruim.,False
381,Heitor Montenegro,Avenida Brasil,Novela,2,Não gostei muito.,False
382,Luara Novais,O Poderoso Chefão,Filme,5,Perfeito! Uma obra-prima.,False
383,Sofia Teixeira,Demon Slayer,Anime,5,Sensacional!,False
384,Ana Beatriz Almeida,Interestelar,Filme,5,"Incrível, assistiria de novo.",False
385,Rhavi Rodrigues,The Office,Série,2,Não gostei muito.,False
386,Sra. Isadora Novaes,Attack on Titan,Anime,3,Divertido para passar o tempo.,False
387,Davi Lucas Lima,Dark,Série,5,Recomendo para todo mundo!,False
388,Maria Jesus,A Origem,Filme,4,"Muito bom, gostei bastante.",False
389,Rael Pacheco,Matrix,Filme,3,Divertido para passar o tempo.,False
390,Anthony Sá,Game of Thrones,Série,3,Tem seus altos e baixos.,False
391,Daniela Dias,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Não recomendo de jeito nenhum.,False
392,Hellena Costa,Senhora do Destino,Novela,2,Não gostei muito.,False
393,Sr. Leandro Montenegro,Avenida Brasil,Novela,5,Recomendo para todo mundo!,False
394,Ana Beatriz Barros,Batman: O Cavaleiro das Trevas,Filme,5,Recomendo para todo mundo!,False
395,Heloísa da Rocha,Matrix,Filme,3,"Bom, mas nada de especial.",False
396,Leonardo Duarte,Stranger Things,Série,3,"É ok, mas não me marcou.",False
397,Sra. Allana Caldeira,Fullmetal Alchemist: Brotherhood,Anime,5,Top 10 da minha vida.,False
398,Vitor Borges,Naruto,Anime,2,"Esperava bem mais, foi uma decepção.",False
399,João Guilherme Cunha,Demon Slayer,Anime,3,Divertido para passar o tempo.,False
400,Carlos Eduardo Ferreira,O Clone,Novela,3,Tem seus altos e baixos.,False
401,Amanda Pereira,Stranger Things,Série,3,"Bom, mas nada de especial.",False
402,Rael Aragão,Jujutsu Kaisen,Anime,5,Perfeito! Uma obra-prima.,False
403,Gustavo Henrique Correia,Batman: O Cavaleiro das Trevas,Filme,5,Sensacional!,False
404,Benicio Siqueira,Attack on Titan,Anime,1,Muito ruim.,False
405,Ana Beatriz Novaes,Matrix,Filme,5,"Incrível, assistiria de novo.",False
406,Juliana Gonçalves,Game of Thrones,Série,4,"Quase perfeito, vale muito a pena.",False
407,Gustavo Jesus,Parasita,Filme,1,Não recomendo de jeito nenhum.,False
408,Julia Mendes,Attack on Titan,Anime,2,Não gostei muito.,False
409,Luiz Gustavo Gomes,Black Mirror,Série,2,Não gostei muito.,False
410,Dr. João Vitor Macedo,O Poderoso Chefão,Filme,1,Não recomendo de jeito nenhum.,False
411,Caio Sousa,Breaking Bad,Série,3,"É ok, mas não me marcou.",False
412,Ravy Moreira,Parasita,Filme,4,Ótima história e personagens.,False
413,Ana Vitória Camargo,Jujutsu Kaisen,Anime,4,Ótima história e personagens.,False
414,Dr. Luigi Monteiro,O Clone,Novela,2,Não gostei muito.,False
415,Luigi Fogaça,Black Mirror,Série,5,Recomendo para todo mundo!,False
416,Srta. Marina Santos,Fullmetal Alchemist: Brotherhood,Anime,4,Surpreendeu positivamente.,False
417,Srta. Maria Flor Azevedo,Parasita,Filme,3,Divertido para passar o tempo.,False
418,Diogo Barbosa,Dark,Série,3,Tem seus altos e baixos.,False
419,João Lucas Castro,O Poderoso Chefão,Filme,1,Não recomendo de jeito nenhum.,False
420,Anthony Macedo,Breaking Bad,Série,4,"Muito bom, gostei bastante.",False
421,Marcelo Moura,Breaking Bad,Série,4,"Muito bom, gostei bastante.",False
422,Aylla da Mata,Death Note,Anime,2,"Esperava bem mais, foi uma decepção.",False
423,Caleb da Conceição,O Poderoso Chefão,Filme,3,Tem seus altos e baixos.,False
424,Sra. Mariah Ferreira,O Poderoso Chefão,Filme,5,Sensacional!,False
425,Bento da Conceição,Vale Tudo,Novela,4,Surpreendeu positivamente.,False
426,Diego Cavalcanti,Black Mirror,Série,5,Recomendo para todo mundo!,False
427,Ana Luiza Jesus,Death Note,Anime,3,"É ok, mas não me marcou.",False
428,Enzo Garcia,A Origem,Filme,3,Tem seus altos e baixos.,False
429,Renan Souza,The Office,Série,5,"Incrível, assistiria de novo.",False
430,Laura Abreu,Avenida Brasil,Novela,2,Achei a premissa fraca.,False
431,Ryan Ribeiro,Stranger Things,Série,3,Divertido para passar o tempo.,False
432,Laís Silveira,Fullmetal Alchemist: Brotherhood,Anime,5,Sensacional!,False
433,Arthur Correia,Interestelar,Filme,1,"Péssimo, perdi meu tempo.",False
434,Nathan Nascimento,Naruto,Anime,3,"É ok, mas não me marcou.",False
435,Dr. Luiz Gustavo Araújo,A Viagem de Chihiro,Filme,4,"Quase perfeito, vale muito a pena.",False
436,Bruno Cirino,O Senhor dos Anéis: O Retorno do Rei,Filme,5,Top 10 da minha vida.,False
437,Vinícius Gomes,Cidade de Deus,Filme,4,Ótima história e personagens.,False
438,Júlia Pastor,A Viagem de Chihiro,Filme,1,"Terrível, um dos piores que já vi.",False
439,Alícia Duarte,Avenida Brasil,Novela,3,Tem seus altos e baixos.,False
440,Sr. Ravi Vargas,Dark,Série,5,Recomendo para todo mundo!,False
441,Raul Abreu,Fullmetal Alchemist: Brotherhood,Anime,1,"Terrível, um dos piores que já vi.",False
442,Júlia Vasconcelos,Matrix,Filme,3,"É ok, mas não me marcou.",False
443,Antony Ribeiro,A Origem,Filme,3,Divertido para passar o tempo.,False
444,Pietra Silveira,Naruto,Anime,1,"Péssimo, perdi meu tempo.",False
445,Pedro Lucas Silveira,Breaking Bad,Série,2,Não gostei muito.,False
446,Alana Albuquerque,Avenida Brasil,Novela,1,Muito ruim.,False
447,Catarina Peixoto,A Origem,Filme,3,"Bom, mas nada de especial.",False
448,Julia Barros,Senhora do Destino,Novela,5,"Incrível, assistiria de novo.",False
449,Antony Cavalcante,Batman: O Cavaleiro das Trevas,Filme,3,"É ok, mas não me marcou.",False
450,Alice Camargo,Attack on Titan,Anime,2,Não funcionou pra mim.,False
451,Ana Sophia Sales,Attack on Titan,Anime,2,"Esperava bem mais, foi uma decepção.",False
452,Ravi Macedo,Demon Slayer,Anime,4,Surpreendeu positivamente.,False
453,Dr. Apollo Viana,Fullmetal Alchemist: Brotherhood,Anime,2,Não gostei muito.,False
454,Maria Isis Pires,O Poderoso Chefão,Filme,3,"Bom, mas nada de especial.",False
455,Thiago Pastor,Death Note,Anime,5,"Incrível, assistiria de novo.",False
456,Juan Teixeira,Avenida Brasil,Novela,5,Recomendo para todo mundo!,False
457,Ryan Rios,Naruto,Anime,2,Achei a premissa fraca.,False
458,Anthony Gabriel Costa,Jujutsu Kaisen,Anime,4,Surpreendeu positivamente.,False
459,Dante da Cruz,Senhora do Destino,Novela,4,Surpreendeu positivamente.,False
460,Laura Costa,Interestelar,Filme,4,Surpreendeu positivamente.,False
461,Olívia Cavalcante,O Poderoso Chefão,Filme,1,"Terrível, um dos piores que já vi.",False
462,Srta. Letícia da Rosa,Senhora do Destino,Novela,1,"Terrível, um dos piores que já vi.",False
463,Diogo Santos,Matrix,Filme,5,Top 10 da minha vida.,False
464,Mirella Silva,Dark,Série,2,Achei a premissa fraca.,False
465,Larissa Cunha,Pulp Fiction,Filme,3,Divertido para passar o tempo.,False
466,Ágatha Lima,Cidade de Deus,Filme,2,"Esperava bem mais, foi uma decepção.",False
467,Amanda Nogueira,A Viagem de Chihiro,Filme,1,"Terrível, um dos piores que já vi.",False
468,Sara Dias,Pulp Fiction,Filme,4,Surpreendeu positivamente.,False
469,Sr. Théo Costa,Avenida Brasil,Novela,4,"Muito bom, gostei bastante.",False
470,Sarah Fernandes,O Clone,Novela,3,"Bom, mas nada de especial.",False
471,Luiz Felipe Santos,Pulp Fiction,Filme,1,"Péssimo, perdi meu tempo.",False
472,Vitor Gabriel Freitas,Breaking Bad,Série,2,Achei a premissa fraca.,False
473,Milena Vieira,Breaking Bad,Série,2,Achei a premissa fraca.,False
474,Juan Cunha,Parasita,Filme,4,"Quase perfeito, vale muito a pena.",False
475,Henry da Luz,Cidade de Deus,Filme,4,Surpreendeu positivamente.,False
476,Cauã Abreu,Demon Slayer,Anime,4,"Quase perfeito, vale muito a pena.",False
477,Antônio Teixeira,Cidade de Deus,Filme,5,Recomendo para todo mundo!,False
478,Pedro Miguel Cunha,Avenida Brasil,Novela,4,Ótima história e personagens.,False
479,Dra. Bianca da Mata,Death Note,Anime,1,Não recomendo de jeito nenhum.,False
480,Cecilia Siqueira,Fullmetal Alchemist: Brotherhood,Anime,5,Sensacional!,False
481,Srta. Ana Beatriz Guerra,Breaking Bad,Série,2,Não gostei muito.,False
482,Vinicius Azevedo,Parasita,Filme,4,"Muito bom, gostei bastante.",False
483,Sr. Eduardo Câmara,The Office,Série,5,Recomendo para todo mundo!,False
484,Mateus Borges,Batman: O Cavaleiro das Trevas,Filme,1,"Terrível, um dos piores que já vi.",False
485,Antony Pimenta,O Clone,Novela,2,Não funcionou pra mim.,False
486,Emanuelly Almeida,Demon Slayer,Anime,5,Top 10 da minha vida.,False
487,Pedro Henrique Fonseca,Pulp Fiction,Filme,2,Achei a premissa fraca.,False
488,Sr. João Lucas da Rosa,Dark,Série,1,"Péssimo, perdi meu tempo.",False
489,Lara Rios,A Origem,Filme,3,Tem seus altos e baixos.,False
490,Sr. Caleb Ramos,Black Mirror,Série,2,Achei a premissa fraca.,False
491,Isaque Rodrigues,A Viagem de Chihiro,Filme,3,"Bom, mas nada de especial.",False
492,Sr. Pedro Miguel Pinto,Senhora do Destino,Novela,2,"Esperava bem mais, foi uma decepção.",False
493,Paulo Vargas,A Viagem de Chihiro,Filme,1,Muito ruim.,False
494,Mateus Cirino,Avenida Brasil,Novela,5,Top 10 da minha vida.,False
495,Otto Cirino,Death Note,Anime,4,Surpreendeu positivamente.,False
496,Ísis Azevedo,A Origem,Filme,4,"Quase perfeito, vale muito a pena.",False
497,Ana Luiza Novaes,Stranger Things,Série,3,Tem seus altos e baixos.,False
498,Benício Pires,Black Mirror,Série,2,Não funcionou pra mim.,False
499,Dra. Olívia da Mota,Batman: O Cavaleiro das Trevas,Filme,4,Surpreendeu positivamente.,False
500,Maria Laura Moraes,Dark,Série,3,Divertido para passar o tempo.,False
501,Sr. Gabriel Siqueira,Jujutsu Kaisen,Anime,3,Tem seus altos e baixos.,False
502,Arthur Miguel Cardoso,Jujutsu Kaisen,Anime,1,Muito ruim.,False
503,Sofia Fernandes,Stranger Things,Série,1,"Péssimo, perdi meu tempo.",False
504,Ana Carolina Duarte,Black Mirror,Série,5,Top 10 da minha vida.,False
505,Sra. Isabel Campos,Batman: O Cavaleiro das Trevas,Filme,3,Divertido para passar o tempo.,False
506,Ian Souza,Game of Thrones,Série,5,Sensacional!,False
507,Valentim Sousa,O Senhor dos Anéis: O Retorno do Rei,Filme,2,Não funcionou pra mim.,False
508,Ana Clara Oliveira,Attack on Titan,Anime,2,Não gostei muito.,False
509,Ana Clara Cavalcante,Game of Thrones,Série,1,"Péssimo, perdi meu tempo.",False
510,Marcelo Lopes,Breaking Bad,Série,4,Surpreendeu positivamente.,False
511,Dra. Cecília Farias,Game of Thrones,Série,1,"Péssimo, perdi meu tempo.",False
512,Luna Costela,A Viagem de Chihiro,Filme,4,Surpreendeu positivamente.,False
513,Milena Siqueira,Vale Tudo,Novela,3,Tem seus altos e baixos.,False
514,Leonardo Sampaio,Pulp Fiction,Filme,2,"Esperava bem mais, foi uma decepção.",False
515,Kevin Freitas,Interestelar,Filme,2,"Esperava bem mais, foi uma decepção.",False
516,Yago Araújo,Parasita,Filme,3,Tem seus altos e baixos.,False
517,Dr. Breno Rezende,A Origem,Filme,1,"Péssimo, perdi meu tempo.",False
518,Esther da Conceição,Pulp Fiction,Filme,4,Ótima história e personagens.,False
519,Ravi Lucca Nunes,Parasita,Filme,2,"Esperava bem mais, foi uma decepção.",False
520,José Pedro Casa Grande,Death Note,Anime,4,"Quase perfeito, vale muito a pena.",False
521,Maitê Ramos,Senhora do Destino,Novela,5,Recomendo para todo mundo!,False
522,Arthur Gabriel Silva,Matrix,Filme,5,Recomendo para todo mundo!,False
523,Caio Lima,Demon Slayer,Anime,5,Sensacional!,False
524,Dr. Bernardo Teixeira,Interestelar,Filme,5,"Incrível, assistiria de novo.",False
525,Olívia Gomes,Interestelar,Filme,1,Não recomendo de jeito nenhum.,False
526,Ana Julia Brito,The Office,Série,2,Achei a premissa fraca.,False
527,Isabella Sampaio,O Poderoso Chefão,Filme,4,Ótima história e personagens.,False
528,Sra. Raquel Nogueira,Stranger Things,Série,2,Não gostei muito.,False
529,Alícia Ramos,Breaking Bad,Série,5,Sensacional!,False
530,Ana Júlia Costa,O Senhor dos Anéis: O Retorno do Rei,Filme,3,Tem seus altos e baixos.,False
531,Arthur Leão,Game of Thrones,Série,3,"É ok, mas não me marcou.",False
532,Kevin Albuquerque,A Origem,Filme,5,Recomendo para todo mundo!,False
533,Henrique Fonseca,Game of Thrones,Série,2,Achei a premissa fraca.,False
534,Dr. Pedro Miguel Abreu,Attack on Titan,Anime,2,Não gostei muito.,False
535,Marcos Vinicius Casa Grande,Game of Thrones,Série,5,Perfeito! Uma obra-prima.,False
536,Luigi Oliveira,Naruto,Anime,3,Tem seus altos e baixos.,False
537,Ana Beatriz Siqueira,Death Note,Anime,3,Divertido para passar o tempo.,False
538,Pietra Almeida,The Office,Série,3,Tem seus altos e baixos.,False
539,Sra. Nicole Sousa,Demon Slayer,Anime,3,"Bom, mas nada de especial.",False
540,Sr. Yago Costela,O Senhor dos Anéis: O Retorno do Rei,Filme,4,"Muito bom, gostei bastante.",False
541,Liz Silva,Parasita,Filme,3,"É ok, mas não me marcou.",False
542,Bryan da Mata,Death Note,Anime,1,Muito ruim.,False
543,Srta. Antonella Siqueira,A Viagem de Chihiro,Filme,2,Não funcionou pra mim.,False
544,Gabriel Rodrigues,Attack on Titan,Anime,4,"Muito bom, gostei bastante.",False
545,Murilo Pacheco,The Office,Série,1,Muito ruim.,False
546,Mathias Pimenta,The Office,Série,1,"Terrível, um dos piores que já vi.",False
547,Gael Vasconcelos,Breaking Bad,Série,2,"Esperava bem mais, foi uma decepção.",False
548,Daniela Nogueira,O Clone,Novela,5,"Incrível, assistiria de novo.",False
549,Ayla Fogaça,Naruto,Anime,4,"Muito bom, gostei bastante.",False
550,Miguel Sampaio,Interestelar,Filme,1,"Péssimo, perdi meu tempo.",False
551,Jade Freitas,Death Note,Anime,3,Divertido para passar o tempo.,False
552,Davi Luiz Costa,Dark,Série,5,Recomendo para todo mundo!,False
553,Sra. Alícia Martins,Black Mirror,Série,1,Não recomendo de jeito nenhum.,False
554,Eduarda Cavalcanti,Demon Slayer,Anime,4,Ótima história e personagens.,False
555,Maria Júlia da Mota,Avenida Brasil,Novela,3,"É ok, mas não me marcou.",False
556,Asafe Garcia,Matrix,Filme,5,Recomendo para todo mundo!,False
557,Sr. Renan Siqueira,Fullmetal Alchemist: Brotherhood,Anime,4,Surpreendeu positivamente.,False
558,Dra. Ana Laura da Mata,A Origem,Filme,3,"Bom, mas nada de especial.",False
559,Enrico da Mota,Attack on Titan,Anime,4,Ótima história e personagens.,False
560,Liam Gomes,Fullmetal Alchemist: Brotherhood,Anime,1,Muito ruim.,False
561,Arthur Miguel Melo,Naruto,Anime,2,Não gostei muito.,False
562,Clara Ramos,Fullmetal Alchemist: Brotherhood,Anime,2,"Esperava bem mais, foi uma decepção.",False
563,João Lucas da Costa,The Office,Série,1,"Terrível, um dos piores que já vi.",False
564,Leandro Campos,Vale Tudo,Novela,3,"É ok, mas não me marcou.",False
565,Ryan Fogaça,Demon Slayer,Anime,1,"Terrível, um dos piores que já vi.",False
566,Henrique Pimenta,Attack on Titan,Anime,5,Sensacional!,False
567,Igor Monteiro,The Office,Série,3,"É ok, mas não me marcou.",False
568,Emanuel Aparecida,A Origem,Filme,2,"Esperava bem mais, foi uma decepção.",False
569,Sra. Luiza da Cruz,Matrix,Filme,1,Muito ruim.,False
570,Alexia Moreira,Interestelar,Filme,1,Muito ruim.,False
571,Ana Laura Peixoto,Black Mirror,Série,4,"Quase perfeito, vale muito a pena.",False
572,Srta. Gabrielly da Rosa,Naruto,Anime,4,"Quase perfeito, vale muito a pena.",False
573,Levi da Luz,Breaking Bad,Série,2,"Esperava bem mais, foi uma decepção.",False
574,Valentim da Costa,A Origem,Filme,4,Surpreendeu positivamente.,False
575,Davi Luiz Peixoto,Vale Tudo,Novela,5,Sensacional!,False
576,Srta. Hadassa da Cunha,Demon Slayer,Anime,3,"Bom, mas nada de especial.",False
577,Larissa Aragão,Jujutsu Kaisen,Anime,2,Não gostei muito.,False
578,Bárbara Cirino,Cidade de Deus,Filme,4,Ótima história e personagens.,False
579,Maria Clara Vargas,A Viagem de Chihiro,Filme,5,Perfeito! Uma obra-prima.,False
580,Lucca Silveira,Stranger Things,Série,3,"É ok, mas não me marcou.",False
581,Carolina Câmara,Stranger Things,Série,4,Surpreendeu positivamente.,False
582,Benjamin Casa Grande,Parasita,Filme,5,Sensacional!,False
583,Valentina Andrade,Death Note,Anime,2,Não gostei muito.,False
584,Renan Souza,O Senhor dos Anéis: O Retorno do Rei,Filme,1,Muito ruim.,False
585,Marina Pires,A Viagem de Chihiro,Filme,3,Tem seus altos e baixos.,False
586,Mariane Nogueira,O Clone,Novela,2,"Esperava bem mais, foi uma decepção.",False
587,Rafaela Guerra,A Origem,Filme,1,Não recomendo de jeito nenhum.,False
588,Bella Câmara,Naruto,Anime,4,"Quase perfeito, vale muito a pena.",False
589,Fernanda Jesus,Dark,Série,3,Divertido para passar o tempo.,False
590,Sra. Maria Helena Vasconcelos,Black Mirror,Série,1,"Terrível, um dos piores que já vi.",False
591,Sra. Gabriela Silva,The Office,Série,1,"Péssimo, perdi meu tempo.",False
592,Dra. Lunna Costa,Cidade de Deus,Filme,1,Muito ruim.,False
593,Maria Luiza Ramos,Breaking Bad,Série,5,Recomendo para todo mundo!,False
594,Maria Luiza Dias,Cidade de Deus,Filme,3,"Bom, mas nada de especial.",False
595,Letícia da Cruz,Cidade de Deus,Filme,2,Não gostei muito.,False
596,Sra. Nicole Peixoto,Parasita,Filme,5,Sensacional!,False
597,Dr. João Miguel Silveira,O Poderoso Chefão,Filme,1,Não recomendo de jeito nenhum.,False
598,Ana Sophia Borges,Game of Thrones,Série,2,Não gostei muito.,False
599,Guilherme Almeida,Cidade de Deus,Filme,4,"Quase perfeito, vale muito a pena.",False
600,Lunna Marques,Breaking Bad,Série,2,Não gostei muito.,False
601,Fernanda Guerra,A Origem,Filme,2,Não gostei muito.,False
602,Liam Ramos,O Clone,Novela,1,Não recomendo de jeito nenhum.,False
603,Rodrigo Fernandes,O Senhor dos Anéis: O Retorno do Rei,Filme,4,Ótima história e personagens.,False
604,Lorena Câmara,Demon Slayer,Anime,3,Divertido para passar o tempo.,False
605,Letícia Lopes,Stranger Things,Série,1,Não recomendo de jeito nenhum.,False
606,Dr. João Melo,Demon Slayer,Anime,5,Perfeito! Uma obra-prima.,False
607,Stella Cavalcanti,Dark,Série,1,Muito ruim.,False
608,Valentim Cardoso,Black Mirror,Série,4,"Muito bom, gostei bastante.",False
609,Fernanda Carvalho,Demon Slayer,Anime,2,"Esperava bem mais, foi uma decepção.",False
610,Heloísa Ribeiro,Cidade de Deus,Filme,4,Surpreendeu positivamente.,False
611,Dr. Otto Nunes,Fullmetal Alchemist: Brotherhood,Anime,1,"Terrível, um dos piores que já vi.",False
612,Thomas Sampaio,Pulp Fiction,Filme,3,Tem seus altos e baixos.,False
613,Laís Pimenta,Pulp Fiction,Filme,2,Não funcionou pra mim.,False
614,Sra. Alícia Santos,Black Mirror,Série,5,Sensacional!,False
615,Isabela Teixeira,Jujutsu Kaisen,Anime,5,"Incrível, assistiria de novo.",False
616,Luiza Leão,Fullmetal Alchemist: Brotherhood,Anime,3,Tem seus altos e baixos.,False
617,Ana Beatriz Pacheco,A Origem,Filme,1,Não recomendo de jeito nenhum.,False
618,Sr. Diogo da Cruz,Parasita,Filme,1,"Péssimo, perdi meu tempo.",False
619,Srta. Letícia Castro,Avenida Brasil,Novela,5,"Incrível, assistiria de novo.",False
620,Emanuelly das Neves,Demon Slayer,Anime,2,Achei a premissa fraca.,False
621,Arthur Miguel Cirino,Dark,Série,3,Divertido para passar o tempo.,False
622,Sra. Ester Pereira,Avenida Brasil,Novela,3,Tem seus altos e baixos.,False
623,Bella Pinto,Senhora do Destino,Novela,2,"Esperava bem mais, foi uma decepção.",False
624,Thomas Aparecida,Interestelar,Filme,1,"Terrível, um dos piores que já vi.",False
625,Dra. Daniela Souza,Matrix,Filme,1,"Terrível, um dos piores que já vi.",False
626,Sr. Benicio Barros,Senhora do Destino,Novela,2,Não gostei muito.,False
627,Bryan Garcia,Breaking Bad,Série,1,"Terrível, um dos piores que já vi.",False
628,Maria Cecília Monteiro,Breaking Bad,Série,5,Recomendo para todo mundo!,False
629,Sr. João Miguel Cassiano,A Origem,Filme,1,Não recomendo de jeito nenhum.,False
630,Valentim Vasconcelos,O Senhor dos Anéis: O Retorno do Rei,Filme,4,"Quase perfeito, vale muito a pena.",False
631,Ana Luiza Andrade,Matrix,Filme,2,Achei a premissa fraca.,False
632,Sra. Hellena Costela,O Clone,Novela,1,Muito ruim.,False
633,Sr. Pedro Costela,Jujutsu Kaisen,Anime,5,Perfeito! Uma obra-prima.,False
634,Sarah Pastor,A Viagem de Chihiro,Filme,2,"Esperava bem mais, foi uma decepção.",False
635,Benjamim Cassiano,Game of Thrones,Série,1,"Péssimo, perdi meu tempo.",False
636,Lucas Gomes,Fullmetal Alchemist: Brotherhood,Anime,5,Sensacional!,False
637,André da Rocha,Fullmetal Alchemist: Brotherhood,Anime,2,Achei a premissa fraca.,False
638,Marcelo da Mata,The Office,Série,4,Ótima história e personagens.,False
639,Sabrina Fogaça,Death Note,Anime,3,Tem seus altos e baixos.,False
640,Manuella Almeida,A Viagem de Chihiro,Filme,3,"É ok, mas não me marcou.",False
641,Raul Carvalho,O Clone,Novela,1,Não recomendo de jeito nenhum.,False
642,Bruno das Neves,Demon Slayer,Anime,2,"Esperava bem mais, foi uma decepção.",False
643,Ana Beatriz Duarte,Cidade de Deus,Filme,2,Achei a premissa fraca.,False
644,Srta. Carolina Rezende,Matrix,Filme,4,"Muito bom, gostei bastante.",False
645,Maitê Farias,Attack on Titan,Anime,5,Sensacional!,False
646,Arthur Miguel da Cunha,Matrix,Filme,4,"Muito bom, gostei bastante.",False
647,José Pedro Pinto,Vale Tudo,Novela,1,Não recomendo de jeito nenhum.,False
648,Dr. Yago Caldeira,The Office,Série,3,"É ok, mas não me marcou.",False
649,Luiz Henrique Silveira,Dark,Série,5,Recomendo para todo mundo!,False
650,Mirella da Cruz,Black Mirror,Série,3,"Bom, mas nada de especial.",False
651,Srta. Clarice Pires,Attack on Titan,Anime,4,"Quase perfeito, vale muito a pena.",False
652,Sra. Luana Silveira,Cidade de Deus,Filme,2,Não funcionou pra mim.,False
653,Enzo Gabriel Siqueira,Game of Thrones,Série,4,"Quase perfeito, vale muito a pena.",False
